date,sales,promotion,holiday,product_category,year,month,day,dayofweek,is_weekend,lag_1,lag_7,lag_30,rolling_mean_7,rolling_std_7,product_category_encoded,predicted_sales
2018-03-28,183.88,0,0,Electronics,2018,3,28,2,0,155.28,123.73,134.98,158.14857142857142,21.42501064065965,1,161.45746
2018-03-29,172.38,1,0,Grocery,2018,3,29,3,0,183.88,159.43,146.24,166.74142857142857,16.90559318546316,2,166.67963
2018-03-30,155.44,0,0,Clothing,2018,3,30,4,0,172.38,171.3,159.69,168.59142857142857,16.679196052339524,0,173.35803
2018-03-31,176.51,0,1,Electronics,2018,3,31,5,1,155.44,194.02,173.21,166.32571428571427,17.315036680241043,1,171.75058
2018-04-01,168.38,0,0,Grocery,2018,4,1,6,1,176.51,154.4,144.73,163.8242857142857,13.489558748828395,2,163.36868
2018-04-02,185.99,1,0,Grocery,2018,4,2,0,0,168.38,148.88,151.21,165.82142857142858,12.882976401141876,2,169.59262
2018-04-03,152.74,0,0,Electronics,2018,4,3,1,0,185.99,155.28,133.38,171.12285714285716,12.375040355874464,1,164.65045
2018-04-04,160.38,0,0,Grocery,2018,4,4,2,0,152.74,183.88,132.16,170.76000000000002,12.941286643915964,2,166.51143
2018-04-05,159.23,1,0,Clothing,2018,4,5,3,0,160.38,172.38,172.9,167.40285714285713,11.983172526902944,0,170.25392
2018-04-06,137.92,1,0,Grocery,2018,4,6,4,0,159.23,155.44,184.33,165.52428571428572,12.103022841619342,2,168.00948
2018-04-07,173.22,0,0,Clothing,2018,4,7,5,1,137.92,176.51,156.3,163.02142857142857,15.786875802990446,0,162.95168
2018-04-08,172.61,0,0,Clothing,2018,4,8,6,1,173.22,168.38,178.34,162.5514285714286,15.361617133374292,0,166.2625
2018-04-09,167.57,0,0,Electronics,2018,4,9,0,0,172.61,185.99,166.01,163.1557142857143,15.708395692689082,1,164.47224
2018-04-10,162.83,0,0,Grocery,2018,4,10,1,0,167.57,152.74,146.38,160.52428571428572,12.450786932483137,2,165.15665
2018-04-11,139.26,0,0,Clothing,2018,4,11,2,0,162.83,160.38,166.99,161.96571428571428,11.974345990690246,0,164.04921
2018-04-12,159.19,1,0,Clothing,2018,4,12,3,0,139.26,159.23,190.99,158.94857142857146,14.773978733538414,0,162.92458
2018-04-13,160.77,0,0,Grocery,2018,4,13,4,0,159.19,137.92,159.97,158.94285714285712,14.773859475760608,2,159.71388
2018-04-14,151.58,0,0,Clothing,2018,4,14,5,1,160.77,173.22,192.43,162.20714285714286,11.520926922034295,0,164.1957
2018-04-15,164.39,0,0,Grocery,2018,4,15,6,1,151.58,172.61,109.17,159.1157142857143,10.963159303082282,2,160.06395
2018-04-16,175.67,0,0,Electronics,2018,4,16,0,0,164.39,167.57,178.41,157.94142857142856,9.636863992972264,1,165.80217
2018-04-17,205.27,0,0,Clothing,2018,4,17,1,0,175.67,162.83,164.11,159.09857142857143,11.324272498445326,0,168.75038
2018-04-18,170.99,0,0,Clothing,2018,4,18,2,0,205.27,139.26,156.78,165.1614285714286,20.93642951776588,0,162.90498
2018-04-19,172.58,0,0,Grocery,2018,4,19,3,0,170.99,159.19,164.96,169.69428571428574,17.555935232984858,2,167.49707
2018-04-20,165.86,0,0,Grocery,2018,4,20,4,0,172.58,160.77,123.73,171.60714285714286,16.939300176695244,2,164.67494
2018-04-21,128.88,0,0,Grocery,2018,4,21,5,1,165.86,151.58,159.43,172.33428571428573,16.500122077470387,2,165.45392
2018-04-22,166.61,0,0,Grocery,2018,4,22,6,1,128.88,164.39,171.3,169.0914285714286,22.425602502921635,2,165.07838
2018-04-23,168.22,1,0,Clothing,2018,4,23,0,0,166.61,175.67,194.02,169.40857142857143,22.36364566923392,0,176.33136
2018-04-24,216.14,0,0,Electronics,2018,4,24,1,0,168.22,205.27,154.4,168.34428571428572,22.19261953679104,1,175.1074
2018-04-25,162.88,0,0,Electronics,2018,4,25,2,0,216.14,170.99,148.88,169.89714285714285,25.361113746761745,1,171.81543
2018-04-26,172.59,0,0,Electronics,2018,4,26,3,0,162.88,172.58,155.28,168.73857142857145,25.48779605260221,1,169.436
2018-04-27,165.69,0,0,Electronics,2018,4,27,4,0,172.59,165.86,183.88,168.74,25.488047525588613,1,172.90518
2018-04-28,142.82,0,0,Grocery,2018,4,28,5,1,165.69,128.88,172.38,168.71571428571428,25.49132980521205,2,163.33493
2018-04-29,188.84,0,0,Clothing,2018,4,29,6,1,142.82,166.61,155.44,170.70714285714286,22.191555236384875,0,172.485
2018-04-30,180.81,1,0,Clothing,2018,4,30,0,0,188.84,168.22,176.51,173.88285714285715,23.08032547018177,0,175.69466
2018-05-01,181.36,0,0,Clothing,2018,5,1,1,0,180.81,216.14,168.38,175.68142857142857,23.056025552677365,0,166.75415
2018-05-02,147.11,0,0,Grocery,2018,5,2,2,0,181.36,162.88,185.99,170.71285714285713,15.340714579494708,2,164.06154
2018-05-03,193.09,0,0,Clothing,2018,5,3,3,0,147.11,172.59,152.74,168.46,17.664648312377956,0,166.12053
2018-05-04,136.73,1,0,Grocery,2018,5,4,4,0,193.09,165.69,160.38,171.38857142857142,20.00742814437624,2,159.30737
2018-05-05,176.22,0,1,Clothing,2018,5,5,5,1,136.73,142.82,159.23,167.2514285714286,23.98163980254572,0,162.3451
2018-05-06,208.0,0,1,Electronics,2018,5,6,6,1,176.22,188.84,137.92,172.0228571428571,21.50538360061316,1,170.47604
2018-05-07,144.07,0,0,Grocery,2018,5,7,0,0,208.0,180.81,173.22,174.76000000000002,24.94655620855641,2,159.3318
2018-05-08,152.24,0,0,Clothing,2018,5,8,1,0,144.07,181.36,172.61,169.51142857142858,27.22261647268765,0,163.6718
2018-05-09,165.23,1,0,Electronics,2018,5,9,2,0,152.24,147.11,167.57,165.35142857142858,27.334957733380747,1,162.00427
2018-05-10,152.82,0,0,Electronics,2018,5,10,3,0,165.23,193.09,162.83,167.94,26.151990364023877,1,163.49081
2018-05-11,131.52,0,0,Electronics,2018,5,11,4,0,152.82,136.73,139.26,162.18714285714285,24.041574902853625,1,152.39896
2018-05-12,163.54,1,0,Grocery,2018,5,12,5,1,131.52,176.22,159.19,161.44285714285712,25.021703055737856,2,156.54865
2018-05-13,140.55,1,0,Grocery,2018,5,13,6,1,163.54,208.0,160.77,159.6314285714286,24.21975394078929,2,154.76572
2018-05-14,170.88,1,0,Clothing,2018,5,14,0,0,140.55,144.07,151.58,149.99571428571429,12.208140531550711,0,157.01611
2018-05-15,142.62,0,0,Electronics,2018,5,15,1,0,170.88,152.24,164.39,153.82571428571427,14.098399267461485,1,157.45438
2018-05-16,191.6,0,0,Clothing,2018,5,16,2,0,142.62,165.23,175.67,152.45142857142858,14.73330742294628,0,160.0727
2018-05-17,144.51,0,0,Clothing,2018,5,17,3,0,191.6,152.82,205.27,156.21857142857144,20.705881957044102,0,156.34796
2018-05-18,153.3,0,0,Electronics,2018,5,18,4,0,144.51,131.52,170.99,155.03142857142856,21.166311620569243,1,150.5619
2018-05-19,175.57,0,0,Clothing,2018,5,19,5,1,153.3,163.54,172.58,158.14285714285714,18.57650910360146,0,157.10873
2018-05-20,134.24,0,0,Grocery,2018,5,20,6,1,175.57,140.55,165.86,159.86142857142858,19.682572179952636,2,156.84538
2018-05-21,162.94,0,0,Clothing,2018,5,21,0,0,134.24,170.88,128.88,158.96,20.825706070463276,0,155.49443
2018-05-22,184.06,0,0,Electronics,2018,5,22,1,0,162.94,142.62,166.61,157.82571428571427,20.277277806404207,1,154.70563
2018-05-23,125.29,0,0,Grocery,2018,5,23,2,0,184.06,191.6,168.22,163.74571428571429,21.129391738478745,2,153.8088
2018-05-24,160.64,0,0,Grocery,2018,5,24,3,0,125.29,144.51,216.14,154.27285714285716,21.422506633822923,2,156.00723
2018-05-25,161.65,1,0,Clothing,2018,5,25,4,0,160.64,153.3,162.88,156.57714285714286,21.06182068284192,0,156.30557
2018-05-26,171.58,0,0,Clothing,2018,5,26,5,1,161.65,175.57,172.59,157.77,21.081728265649,0,158.88618
2018-05-27,130.69,0,0,Grocery,2018,5,27,6,1,171.58,134.24,165.69,157.20000000000002,20.56792567729337,2,155.8258
2018-05-28,128.49,0,0,Clothing,2018,5,28,0,0,130.69,162.94,142.82,156.69285714285715,21.260509334041235,0,156.90648
2018-05-29,164.81,0,0,Electronics,2018,5,29,1,0,128.49,184.06,188.84,151.77142857142857,23.448122475350637,1,156.56274
2018-05-30,159.77,0,1,Clothing,2018,5,30,2,0,164.81,125.29,180.81,149.02142857142857,19.888864915299784,0,154.51167
2018-05-31,158.29,0,0,Clothing,2018,5,31,3,0,159.77,160.64,181.36,153.94714285714286,17.10708499841085,0,157.61446
2018-06-01,159.65,0,0,Grocery,2018,6,1,4,0,158.29,161.65,147.11,153.61142857142858,16.97641150594094,2,152.64551
2018-06-02,138.55,0,0,Clothing,2018,6,2,5,1,159.65,171.58,193.09,153.32571428571427,16.834812994845677,0,155.03581
2018-06-03,156.23,0,0,Clothing,2018,6,3,6,1,138.55,130.69,136.73,148.60714285714286,15.43650404537414,0,149.60541
2018-06-04,156.87,0,0,Clothing,2018,6,4,0,0,156.23,128.49,176.22,152.25571428571428,13.376679778807516,0,153.20218
2018-06-05,136.13,1,0,Electronics,2018,6,5,1,0,156.87,164.81,208.0,156.31,8.317002665223246,1,155.17105
2018-06-06,187.14,1,0,Clothing,2018,6,6,2,0,136.13,159.77,144.07,152.21285714285713,10.267355573670692,0,161.10258
2018-06-07,158.71,0,0,Electronics,2018,6,7,3,0,187.14,158.29,152.24,156.12285714285716,16.7744336360284,1,152.86032
2018-06-08,124.8,0,0,Electronics,2018,6,8,4,0,158.71,159.65,165.23,156.18285714285713,16.784225445623665,1,151.88457
2018-06-09,161.14,0,0,Electronics,2018,6,9,5,1,124.8,138.55,152.82,151.20428571428573,20.369997428524407,1,150.70045
2018-06-10,127.9,1,0,Electronics,2018,6,10,6,1,161.14,156.23,131.52,154.43142857142857,19.812904404765536,1,152.44377
2018-06-11,162.52,0,0,Grocery,2018,6,11,0,0,127.9,156.87,163.54,150.3842857142857,22.1409626839355,2,149.06383
2018-06-12,169.32,0,0,Electronics,2018,6,12,1,0,162.52,136.13,140.55,151.19142857142856,22.51660160013148,1,148.50989
2018-06-13,129.11,1,0,Clothing,2018,6,13,2,0,169.32,187.14,170.88,155.93285714285713,22.30999231606444,0,153.51544
2018-06-14,164.15,0,0,Electronics,2018,6,14,3,0,129.11,158.71,142.62,147.64285714285714,19.36890008431521,1,149.05869
2018-06-15,152.5,1,0,Clothing,2018,6,15,4,0,164.15,124.8,191.6,148.42000000000002,19.986254443158234,0,146.3741
2018-06-16,160.04,0,0,Electronics,2018,6,16,5,1,152.5,161.14,144.51,152.37714285714287,17.057898184600205,1,154.3783
2018-06-17,180.89,0,0,Grocery,2018,6,17,6,1,160.04,127.9,153.3,152.22,16.96855032110865,2,150.6376
2018-06-18,137.39,0,0,Electronics,2018,6,18,0,0,180.89,162.52,175.57,159.79,16.10880918421135,1,154.25629
2018-06-19,126.57,1,0,Electronics,2018,6,19,1,0,137.39,169.32,134.24,156.20000000000002,18.07877576976193,1,150.64038
2018-06-20,123.19,1,0,Grocery,2018,6,20,2,0,126.57,129.11,162.94,150.09285714285716,20.024047804482148,2,144.33495
2018-06-21,124.0,0,0,Electronics,2018,6,21,3,0,123.19,164.15,184.06,149.24714285714285,21.151247964982737,1,148.82248
2018-06-22,138.11,0,0,Clothing,2018,6,22,4,0,124.0,152.5,125.29,143.51142857142855,21.868111813453588,0,146.93755
2018-06-23,145.81,0,0,Electronics,2018,6,23,5,1,138.11,160.04,160.64,141.4557142857143,21.55645754535645,1,138.82898
2018-06-24,143.85,1,0,Electronics,2018,6,24,6,1,145.81,180.89,161.65,139.42285714285714,20.1359617883738,1,138.5423
2018-06-25,154.19,0,0,Electronics,2018,6,25,0,0,143.85,137.39,171.58,134.13142857142856,9.458883705404784,1,141.49007
2018-06-26,137.24,0,0,Grocery,2018,6,26,1,0,154.19,126.57,130.69,136.53142857142856,12.167106515206198,2,136.176
2018-06-27,165.37,0,0,Electronics,2018,6,27,2,0,137.24,123.19,128.49,138.0557142857143,11.35223011444982,1,139.0563
2018-06-28,130.33,0,0,Electronics,2018,6,28,3,0,165.37,124.0,164.81,144.08142857142855,13.191884409958623,1,147.99405
2018-06-29,189.35,0,0,Clothing,2018,6,29,4,0,130.33,138.11,159.77,144.9857142857143,11.720841632383914,0,154.3029
2018-06-30,146.79,0,1,Electronics,2018,6,30,5,1,189.35,145.81,158.29,152.30571428571426,19.875052919965437,1,155.30606
2018-07-01,116.45,0,0,Electronics,2018,7,1,6,1,146.79,143.85,159.65,152.44571428571427,19.825059778928612,1,151.16837
2018-07-02,111.5,1,0,Electronics,2018,7,2,0,0,116.45,154.19,138.55,148.53142857142856,24.058095261658693,1,144.87729
2018-07-03,141.89,0,0,Electronics,2018,7,3,1,0,111.5,137.24,156.23,142.43285714285716,27.543029798411528,1,145.77106
2018-07-04,127.1,0,0,Clothing,2018,7,4,2,0,141.89,165.37,156.87,143.09714285714287,27.452841209539415,0,146.7514
2018-07-05,145.17,1,0,Clothing,2018,7,5,3,0,127.1,130.33,136.13,137.63,26.052996628666865,0,131.67255
2018-07-06,139.68,0,0,Grocery,2018,7,6,4,0,145.17,189.35,187.14,139.75,25.96360465472121,2,134.36035
2018-07-07,128.08,0,0,Electronics,2018,7,7,5,1,139.68,146.79,158.71,132.6542857142857,14.32976721972207,1,135.45996
2018-07-08,111.93,0,0,Grocery,2018,7,8,6,1,128.08,116.45,124.8,129.98142857142858,12.93026092617777,2,124.366196
2018-07-09,97.9,1,0,Grocery,2018,7,9,0,0,111.93,111.5,161.14,129.33571428571426,13.802087833781536,2,125.39688
2018-07-10,118.59,0,0,Electronics,2018,7,10,1,0,97.9,141.89,127.9,127.39285714285714,17.256179293502804,1,124.67865
2018-07-11,143.99,1,0,Clothing,2018,7,11,2,0,118.59,127.1,162.52,124.06428571428572,16.209162899568632,0,124.373184
2018-07-12,130.47,0,0,Clothing,2018,7,12,3,0,143.99,145.17,169.32,126.47714285714288,17.90478121832773,0,127.35385
2018-07-13,100.61,0,0,Electronics,2018,7,13,4,0,130.47,139.68,129.11,124.37714285714289,16.120055535766028,1,124.18851
2018-07-14,128.33,0,0,Electronics,2018,7,14,5,1,100.61,128.08,164.15,118.7957142857143,16.692165684478585,1,123.25407
2018-07-15,131.92,1,0,Clothing,2018,7,15,6,1,128.33,111.93,152.5,118.83142857142856,16.71559195139985,0,125.13813
2018-07-16,105.88,0,0,Electronics,2018,7,16,0,0,131.92,97.9,160.04,121.68714285714286,17.044360469360935,1,122.80486
2018-07-17,125.99,1,0,Electronics,2018,7,17,1,0,105.88,118.59,180.89,122.82714285714287,15.373146190988818,1,128.38422
2018-07-18,123.43,0,0,Electronics,2018,7,18,2,0,125.99,143.99,137.39,123.88428571428572,15.28740860658707,1,129.1623
2018-07-19,98.76,0,0,Clothing,2018,7,19,3,0,123.43,130.47,126.57,120.94714285714284,12.502054116938014,0,127.16896
2018-07-20,128.14,0,0,Grocery,2018,7,20,4,0,98.76,100.61,123.19,116.41714285714284,14.1170484571969,2,115.33675
2018-07-21,131.57,1,0,Grocery,2018,7,21,5,1,128.14,128.33,124.0,120.35,12.747773661832984,2,125.9757
2018-07-22,141.39,0,0,Electronics,2018,7,22,6,1,131.57,131.92,138.11,120.81285714285714,13.138637314279588,1,125.20706
2018-07-23,140.18,0,0,Clothing,2018,7,23,0,0,141.39,105.88,145.81,122.16571428571427,14.849137861777873,0,128.87671
2018-07-24,90.93,0,0,Electronics,2018,7,24,1,0,140.18,125.99,143.85,127.06571428571428,14.225571877365304,1,126.9803
2018-07-25,99.12,1,0,Clothing,2018,7,25,2,0,90.93,123.43,154.19,122.05714285714284,19.762057681565288,0,123.71722
2018-07-26,127.57,0,0,Electronics,2018,7,26,3,0,99.12,98.76,137.24,118.58428571428573,21.536930187581294,1,124.30512
2018-07-27,126.94,0,0,Clothing,2018,7,27,4,0,127.57,128.14,165.37,122.7,19.79984511723909,0,124.25926
2018-07-28,126.38,0,0,Clothing,2018,7,28,5,1,126.94,131.57,130.33,122.52857142857144,19.75002736586385,0,124.320526
2018-07-29,192.54,0,0,Grocery,2018,7,29,6,1,126.38,141.39,189.35,121.78714285714284,19.44916254776831,2,136.75935
2018-07-30,126.33,0,0,Electronics,2018,7,30,0,0,192.54,140.18,146.79,129.09428571428572,32.95844345896946,1,125.962685
2018-07-31,137.05,1,0,Grocery,2018,7,31,1,0,126.33,90.93,116.45,127.11571428571428,32.59575374039927,2,122.60059
2018-08-01,132.85,1,0,Grocery,2018,8,1,2,0,137.05,99.12,111.5,133.7042857142857,28.461430543305827,2,125.67834
2018-08-02,126.24,0,0,Clothing,2018,8,2,3,0,132.85,127.57,141.89,138.5228571428571,24.160728268746062,0,128.9252
2018-08-03,106.35,0,0,Electronics,2018,8,3,4,0,126.24,126.94,127.1,138.33285714285714,24.26621637468132,1,125.40737
2018-08-04,127.29,0,0,Clothing,2018,8,4,5,1,106.35,126.38,145.17,135.39142857142855,26.974177422472803,0,128.72504
2018-08-05,96.12,0,1,Clothing,2018,8,5,6,1,127.29,192.54,139.68,135.52142857142857,26.925658412606644,0,128.31235
2018-08-06,106.31,0,0,Clothing,2018,8,6,0,0,96.12,126.33,128.08,121.74714285714286,14.850280260301938,0,122.262596
2018-08-07,100.83,0,0,Electronics,2018,8,7,1,0,106.31,137.05,111.93,118.88714285714283,15.72275708888804,1,123.92986
2018-08-08,111.66,0,1,Electronics,2018,8,8,2,0,100.83,132.85,97.9,113.71285714285716,14.674177676318951,1,105.14642
2018-08-09,155.81,0,0,Clothing,2018,8,9,3,0,111.66,126.24,118.59,110.68571428571428,12.012686151374078,0,108.84516
2018-08-10,71.68,0,0,Electronics,2018,8,10,4,0,155.81,106.35,143.99,114.90999999999998,20.55553858858128,1,103.45624
2018-08-11,122.27,0,0,Clothing,2018,8,11,5,1,71.68,127.29,130.47,109.95714285714288,26.32813685918881,0,102.30922
2018-08-12,75.82,0,0,Electronics,2018,8,12,6,1,122.27,96.12,100.61,109.24,25.84119192297417,1,98.866875
2018-08-13,98.17,0,0,Electronics,2018,8,13,0,0,75.82,106.31,128.33,106.34,28.55548750532288,1,98.346405
2018-08-14,128.93,0,0,Grocery,2018,8,14,1,0,98.17,100.83,131.92,105.17714285714284,28.72216781180536,2,100.748764
2018-08-15,108.0,0,0,Clothing,2018,8,15,2,0,128.93,111.66,105.88,109.19142857142856,29.95072810944168,0,98.78354
2018-08-16,84.72,0,0,Grocery,2018,8,16,3,0,108.0,155.81,125.99,108.66857142857144,29.932392391616474,2,102.31579
2018-08-17,91.55,0,0,Grocery,2018,8,17,4,0,84.72,71.68,123.43,98.51285714285714,22.37907781409917,2,102.26758
2018-08-18,119.03,0,0,Clothing,2018,8,18,5,1,91.55,122.27,98.76,101.35142857142856,19.480825982292533,0,100.39454
2018-08-19,90.43,0,0,Clothing,2018,8,19,6,1,119.03,75.82,128.14,100.88857142857144,18.931724193859463,0,100.153114
2018-08-20,108.98,0,0,Electronics,2018,8,20,0,0,90.43,98.17,131.57,102.97571428571428,16.334607287537665,1,103.290184
2018-08-21,105.18,1,0,Clothing,2018,8,21,1,0,108.98,128.93,141.39,104.52,16.31553043371,0,104.04259
2018-08-22,90.87,0,0,Grocery,2018,8,22,2,0,105.18,108.0,140.18,101.12714285714289,12.390764994254388,2,106.5849
2018-08-23,146.42,0,0,Grocery,2018,8,23,3,0,90.87,84.72,90.93,98.68000000000002,12.498263879434704,2,123.93767
2018-08-24,115.88,0,0,Clothing,2018,8,24,4,0,146.42,91.55,99.12,107.49428571428572,20.32086026487919,0,106.68322
2018-08-25,62.36,0,0,Grocery,2018,8,25,5,1,115.88,119.03,127.57,110.97,19.18836452992589,2,103.61558
2018-08-26,106.27,0,0,Electronics,2018,8,26,6,1,62.36,90.43,126.94,102.87428571428572,25.975451139580716,1,104.8631
2018-08-27,89.0,0,0,Grocery,2018,8,27,0,0,106.27,108.98,126.38,105.13714285714286,25.394131024238145,2,102.18453
2018-08-28,118.98,0,0,Electronics,2018,8,28,1,0,89.0,105.18,192.54,102.28285714285714,26.005712650803734,1,108.70284
